Prime	Verb	Target	Filler
Airplanes	can	travel	far.
Alarms	can	awake	people.
Anchors	can	stop	boats.
Ants	can	bite	people.
Architects	can	draw	houses.
Artists	can	create	everything.
Babies	can	cuddle	loudly.
Balloons	can	pop	abruptly.
Bands	can	rap	loudly.
Bats	can	fly	blindly.
Bees	can	buzz	painfully.
Birds	can	fly	sweetly.
Bombs	can	blow	abruptly.
Boxers	can	fight	hard.
Brains	can	learn	quickly.
Bugs	can	fly	easily.
Burglars	can	rob	unnoticeably.
Cars	can	drive	far.
Children	can	laugh	joyfully.
Clamps	can	hold	tight.
Clorox	can	wash	clothes.
Cooks	can	bake	food.
Critics	can	insult	movies.
Ducks	can	quack	peacefully.
Eagles	can	fly	majestically.
Ears	can	hear	immensely.
Earthquakes	can	move	buildings.
Engines	can	run	loudly.
Eyes	can	look	far.
Farmers	can	plow	fields.
Feets	can	walk	badly.
Fish	can	swim	quickly.
Frogs	can	leap	high.
Grasshoppers	can	hop	high.
Guards	can	defend	strongly.
Guides	can	lead	confidently.
Gymnasts	can	split	gracefully.
Heads	can	ache	quickly.
Hearts	can	break	often.
Helicopters	can	fly	suddenly.
Insects	can	fly	annoyingly.
Inventors	can	make	unconsciously.
Judges	can	evaluate	justly.
Kangaroos	can	jump	high.
Kettles	can	cook	quickly.
Knees	can	bend	rapidly.
Legs	can	tan	quickly.
Lips	can	kiss	lovingly.
Masks	can	disguise	noticeably.
Mildew	can	stain	distinctly.
Mosquitos	can	sting	painfully.
Muscles	can	flex	involuntarily.
Needles	can	prick	quickly.
Noses	can	smell	immensely.
Oil	can	lubricate	haphazardly.
Ovens	can	cook	thoroughly.
Pans	can	fry	quickly.
Parrots	can	talk	annoyingly.
Planes	can	travel	distantly.
Plants	can	grow	vibrantly.
Police	can	arrest	honorably.
Politicians	can	lie	dishonestly.
Puzzles	can	frustrate	immensely.
Rabbits	can	jump	high.
Rivers	can	run	deeply.
Sharks	can	bite	indiscriminately.
Ships	can	cruise	dramatically.
Singers	can	sing	admirably.
Skin	can	feel	unknowingly.
Snakes	can	bite	quickly.
Soap	can	smell	well.
Stomachs	can	ache	annoyingly.
Suns	can	burn	skin.
Teeth	can	chew	food.
Telescopes	can	magnify	space.
Thorns	can	prick	gardeners.
Threats	can	worry	everyone.
Traffic	can	jam	traffic.
Traitors	can	cheat	people.
Trays	can	carry	food.
Tweezers	can	pick	hair.
Volcanos	can	erupt	violently.
Volunteers	can	aid	victims.
Warriors	can	fight	enemies.
Wasps	can	bite	people.
Weapons	can	kill	people.
