item,blank,block,scenario,relatedness,nonword,identifier,trigger_fix,prime,trigger_prime,target,trigger_target,post,trigger_post,probe
0,0,0,0,0,0,000 000000,0,ANIMAL,1,RED,2,MAID,3,Correct! Press button to move to the next trial
0,0,0,0,0,0,000 000000,0,ANIMAL,1,RED,2,MAID,3,Correct! Press button to move to the next trial
0,0,0,0,0,1,000 000001,4,dass,5,Incorrect,6,Incorrect,7,Incorrect
0,0,0,0,0,1,000 000001,4,dass,5,Incorrect,6,Incorrect,7,Incorrect
0,0,0,0,0,2,000 000002,8,SPIDER,9,lomb,10,Incorrect,11,Incorrect
0,0,0,0,0,2,000 000002,8,SPIDER,9,lomb,10,Incorrect,11,Incorrect
0,0,0,0,0,3,000 000003,12,BABY,13,COB,14,drate,15,Incorrect
0,0,0,0,0,3,000 000003,12,BABY,13,COB,14,drate,15,Incorrect
0,0,0,0,0,0,000 000000,0,YEAR,1,TWELVE,2,ENEMY,3,Correct! Press button to move to the next trial
0,0,0,0,0,0,000 000000,0,YEAR,1,TWELVE,2,ENEMY,3,Correct! Press button to move to the next trial
0,0,0,0,0,1,000 000001,4,fowns,5,Incorrect,6,Incorrect,7,Incorrect
0,0,0,0,0,1,000 000001,4,fowns,5,Incorrect,6,Incorrect,7,Incorrect
0,0,0,0,0,2,000 000002,8,LOVE,9,jurp,10,Incorrect,11,Incorrect
0,0,0,0,0,2,000 000002,8,LOVE,9,jurp,10,Incorrect,11,Incorrect
0,0,0,0,0,3,000 000003,12,GLOVE,13,LAVA,14,degent,15,Incorrect
0,0,0,0,0,3,000 000003,12,GLOVE,13,LAVA,14,degent,15,Incorrect
0,0,0,0,0,0,000 000000,0,PIE,1,SWORD,2,ART,3,Correct! Press button to move to the next trial
0,0,0,0,0,0,000 000000,0,PIE,1,SWORD,2,ART,3,Correct! Press button to move to the next trial
0,0,0,0,0,1,000 000001,4,smout,5,Incorrect,6,Incorrect,7,Incorrect
0,0,0,0,0,1,000 000001,4,smout,5,Incorrect,6,Incorrect,7,Incorrect
801,0,1,1,1,3,801 100113,60,TOGETHER,61,APART,62,sorthe,63,Incorrect
802,0,1,1,0,3,802 100103,44,HAMMER,45,APART,46,sorthe,47,Incorrect
803,0,1,2,1,0,803 100210,48,ASLEEP,49,AWAKE,50,WINDOW,51,Correct! Press button to move to the next trial
804,0,1,2,0,0,804 100200,32,HEAVEN,33,AWAKE,34,WINDOW,35,Correct! Press button to move to the next trial
805,0,1,3,1,3,805 100313,60,BAT,61,BALL,62,dyct,63,Incorrect
806,0,1,3,0,3,806 100303,44,KEG,45,BALL,46,dyct,47,Incorrect
807,0,1,4,1,0,807 100410,48,KEG,49,BEER,50,BUYER,51,Correct! Press button to move to the next trial
808,0,1,4,0,0,808 100400,32,LOW,33,BEER,34,BUYER,35,Correct! Press button to move to the next trial
809,0,1,5,1,3,809 100513,60,TEXT,61,BOOK,62,dags          ,63,Incorrect
810,0,1,5,0,3,810 100503,44,FORK,45,BOOK,46,dags          ,47,Incorrect
811,0,1,6,1,0,811 100610,48,RYE,49,BREAD,50,FOOT,51,Correct! Press button to move to the next trial
812,0,1,6,0,0,812 100600,32,BAT,33,BREAD,34,FOOT,35,Correct! Press button to move to the next trial
813,0,1,7,1,3,813 100713,60,PRIEST,61,CHURCH,62,flokes,63,Incorrect
814,0,1,7,0,3,814 100703,44,NICKEL,45,CHURCH,46,flokes,47,Incorrect
815,0,1,8,1,0,815 100810,48,DOE,49,DEER,50,WALL,51,Correct! Press button to move to the next trial
816,0,1,8,0,0,816 100800,32,BOY,33,DEER,34,WALL,35,Correct! Press button to move to the next trial
817,0,1,9,1,3,817 100913,60,NICKEL,61,DIME,62,lale ,63,Incorrect
818,0,1,9,0,3,818 100903,44,TOGETHER,45,DIME,46,lale ,47,Incorrect
819,0,1,10,1,0,819 101010,48,SKETCH,49,DRAW,50,HUMAN,51,Correct! Press button to move to the next trial
820,0,1,10,0,0,820 101000,32,ASLEEP,33,DRAW,34,HUMAN,35,Correct! Press button to move to the next trial
821,0,1,11,1,3,821 101113,60,QUACK,61,DUCK,62,yoam,63,Incorrect
822,0,1,11,0,3,822 101103,44,FOUND,45,DUCK,46,yoam,47,Incorrect
823,0,1,12,1,0,823 101210,48,THUMB,49,FINGER,50,GLASS,51,Correct! Press button to move to the next trial
824,0,1,12,0,0,824 101200,32,BLAZE,33,FINGER,34,GLASS,35,Correct! Press button to move to the next trial
825,0,1,13,1,3,825 101313,60,BLAZE,61,FIRE,62,zore,63,Incorrect
826,0,1,13,0,3,826 101303,44,QUACK,45,FIRE,46,zore,47,Incorrect
827,0,1,14,1,0,827 101410,48,TROUT,49,FISH,50,WATER,51,Correct! Press button to move to the next trial
828,0,1,14,0,0,828 101400,32,THUMB,33,FISH,34,WATER,35,Correct! Press button to move to the next trial
829,0,1,15,1,3,829 101513,60,BOY,61,GIRL,62,fars            ,63,Incorrect
830,0,1,15,0,3,830 101503,44,KEY,45,GIRL,46,fars            ,47,Incorrect
831,0,1,16,1,0,831 101610,48,SILVER,49,GOLD,50,GUM,51,Correct! Press button to move to the next trial
832,0,1,16,0,0,832 101600,32,PRIEST,33,GOLD,34,GUM,35,Correct! Press button to move to the next trial
833,0,1,17,1,3,833 101713,60,HEAVEN,61,HELL,62,norg,63,Incorrect
834,0,1,17,0,3,834 101703,44,SILVER,45,HELL,46,norg,47,Incorrect
835,0,1,18,1,0,835 101810,48,LOW,49,HIGH,50,FAT,51,Correct! Press button to move to the next trial
836,0,1,18,0,0,836 101800,32,RYE,33,HIGH,34,FAT,35,Correct! Press button to move to the next trial
837,0,1,19,1,3,837 101913,60,FORK,61,KNIFE,62,dure ,63,Incorrect
838,0,1,19,0,3,838 101903,44,MORE,45,KNIFE,46,dure ,47,Incorrect
839,0,1,20,1,0,839 102010,48,MORE,49,LESS,50,SCHOOL,51,Correct! Press button to move to the next trial
840,0,1,20,0,0,840 102000,32,BANK,33,LESS,34,SCHOOL,35,Correct! Press button to move to the next trial
841,0,1,21,1,3,841 102113,60,KEY,61,LOCK,62,tomp         ,63,Incorrect
842,0,1,21,0,3,842 102103,44,DOE,45,LOCK,46,tomp         ,47,Incorrect
843,0,1,22,1,0,843 102210,48,FOUND,49,LOST,50,CLAM,51,Correct! Press button to move to the next trial
