item	block	scenario	relatedness	nonword	identifier	trigger_fix	prime	trigger_prime	target	trigger_target	post	trigger_post	probe
0	0	0	0	0	000 000000	0	animal	1	red	2	maid	3	Correct! Press button to move to the next trial
0	0	0	0	2	000 000002	8	spider	9	lomb	10	INCORRECT	11	Incorrect
0	0	0	0	0	000 000000	0	year	1	twelve	2	enemy	3	Correct! Press button to move to the next trial
0	0	0	0	2	000 000002	8	love	9	jurp	10	INCORRECT	11	Incorrect
0	0	0	0	0	000 000000	0	pie	1	sword	2	art	3	Correct! Press button to move to the next trial
0	0	0	0	1	000 000001	4	dass	5	INCORRECT	6	INCORRECT	7	Incorrect
0	0	0	0	3	000 000003	12	baby	13	cob	14	drate	15	Incorrect
0	0	0	0	1	000 000001	4	fowns	5	INCORRECT	6	INCORRECT	7	Incorrect
0	0	0	0	3	000 000003	12	glove	13	lava	14	degent	15	Incorrect
0	0	0	0	1	000 000001	4	smout	5	INCORRECT	6	INCORRECT	7	Incorrect
801	1	1	1	3	801 100113	60	together	61	apart	62	sorthe	63	Incorrect
805	1	3	1	3	805 100313	60	bat	61	ball	62	dyct	63	Incorrect
809	1	5	1	3	809 100513	60	text	61	book	62	dags          	63	Incorrect
813	1	7	1	3	813 100713	60	priest	61	church	62	flokes	63	Incorrect
817	1	9	1	3	817 100913	60	nickel	61	dime	62	lale 	63	Incorrect
821	1	11	1	3	821 101113	60	quack	61	duck	62	yoam	63	Incorrect
825	1	13	1	3	825 101313	60	blaze	61	fire	62	zore	63	Incorrect
829	1	15	1	3	829 101513	60	boy	61	girl	62	fars            	63	Incorrect
833	1	17	1	3	833 101713	60	heaven	61	hell	62	norg	63	Incorrect
837	1	19	1	3	837 101913	60	fork	61	knife	62	dure 	63	Incorrect
841	1	21	1	3	841 102113	60	key	61	lock	62	tomp         	63	Incorrect
845	1	23	1	3	845 102313	60	bank	61	money	62	dup	63	Incorrect
849	1	25	1	3	849 102513	60	jet	61	plane	62	jafts	63	Incorrect
853	1	27	1	3	853 102713	60	shove	61	push	62	marn	63	Incorrect
857	1	29	1	3	857 102913	60	left	61	right	62	nild	63	Incorrect
861	1	31	1	3	861 103113	60	tall	61	short	62	hine	63	Incorrect
865	1	33	1	3	865 103313	60	north	61	south	62	skake	63	Incorrect
869	1	35	1	3	869 103513	60	rob	61	steal	62	fent   	63	Incorrect
873	1	37	1	3	873 103713	60	halt	61	stop	62	whep             	63	Incorrect
877	1	39	1	3	877 103913	60	quiz	61	test	62	sprefs	63	Incorrect
881	1	41	1	3	881 104113	60	flush	61	toilet	62	grerns	63	Incorrect
885	1	43	1	3	885 104313	60	false	61	true	62	murf	63	Incorrect
889	1	45	1	3	889 104513	60	height	61	weight	62	brotch	63	Incorrect
893	1	47	1	3	893 104713	60	rip	61	tear	62	stoins	63	Incorrect
897	1	49	1	3	897 104913	60	below	61	above	62	staw	63	Incorrect
901	1	51	1	3	901 105113	60	sand	61	beach	62	thand	63	Incorrect
905	1	53	1	3	905 105313	60	table	61	chair	62	zans	63	Incorrect
909	1	55	1	3	909 105513	60	time	61	clock	62	hus	63	Incorrect
913	1	57	1	3	913 105713	60	hot	61	cold	62	mank 	63	Incorrect
917	1	59	1	3	917 105913	60	insane	61	crazy	62	trulps	63	Incorrect
921	1	61	1	3	921 106113	60	soil	61	dirt	62	rilds	63	Incorrect
925	1	63	1	3	925 106313	60	late	61	early	62	cile            	63	Incorrect
929	1	65	1	3	929 106513	60	toad	61	frog	62	prot           	63	Incorrect
933	1	67	1	3	933 106713	60	bad	61	good	62	soag            	63	Incorrect
937	1	69	1	3	937 106913	60	soft	61	hard	62	dape	63	Incorrect
941	1	71	1	3	941 107113	60	leap	61	jump	62	swip            	63	Incorrect
945	1	73	1	3	945 107313	60	lemon	61	lime	62	hule	63	Incorrect
949	1	75	1	3	949 107513	60	noise	61	loud	62	domp	63	Incorrect
953	1	77	1	3	953 107713	60	niece	61	nephew	62	skoon	63	Incorrect
957	1	79	1	3	957 107913	60	under	61	over	62	tief	63	Incorrect
961	1	81	1	3	961 108113	60	sock	61	shoe	62	zepth	63	Incorrect
965	1	83	1	3	965 108313	60	satin	61	silk	62	delche	63	Incorrect
969	1	85	1	3	969 108513	60	wag	61	tail	62	spress	63	Incorrect
973	1	87	1	3	973 108713	60	quench	61	thirst	62	rooc	63	Incorrect
977	1	89	1	3	977 108913	60	once	61	twice	62	soit	63	Incorrect
