block,bin_strength,trigger_fix,prime,trigger_prime,aux,trigger_aux,target,trigger_target,post,trigger_post,strength
0,0,0,THIS,1,IS,2,A,3,SENTENCE,4,0
0,0,0,THIS,1,IS,2,A,3,SENTENCE,4,0
0,0,0,THIS,1,IS,2,FOR,3,PRACTICE,4,0
0,0,0,THIS,1,IS,2,FOR,3,PRACTICE,4,0
0,0,0,PRACTICE,1,IS,2,VERY,3,IMPORTANT,4,0
0,0,0,PRACTICE,1,IS,2,VERY,3,IMPORTANT,4,0
0,0,0,PRACTICE,1,IS,2,VERY,3,USEFUL,4,0
0,0,0,PRACTICE,1,IS,2,VERY,3,USEFUL,4,0
1,0,16,ACROBATS,17,can,18,FLY,19,high,20,0.019
1,1,24,ACROBATS,25,can,26,FLIP,27,high,28,0.097
1,0,16,AIRPLANES,17,can,18,travel,19,far,20,0.015
1,1,24,AIRPLANES,25,can,26,FLY,27,far,28,0.32
1,0,16,ALARMS,17,can,18,SCARE,19,people,20,0.048
1,1,24,ALARMS,25,can,26,AWAKE,27,people,28,0.061
1,0,16,ANCHORS,17,can,18,STOP,19,boats,20,0.016
1,1,24,ANCHORS,25,can,26,HOLD,27,boats,28,0.04
1,0,16,ANTS,17,can,18,STING,19,people,20,0.017
1,1,24,ANTS,25,can,26,BITE,27,people,28,0.034
1,0,16,ARCHITECTS,17,can,18,draw,19,houses,20,0.033
1,1,24,ARCHITECTS,25,can,26,BUILD,27,houses,28,0.053
1,0,16,ARTISTS,17,can,18,DRAW,19,everything,20,0.015
1,1,24,ARTISTS,25,can,26,CREATE,27,everything,28,0.041
1,0,16,BABIES,17,can,18,CUDDLE,19,loudly,20,0.013
1,1,24,BABIES,25,can,26,CRY,27,loudly,28,0.115
1,0,16,BALLOONS,17,can,18,float,19,abruptly,20,0.054
1,1,24,BALLOONS,25,can,26,POP,27,abruptly,28,0.209
1,0,16,BANDS,17,can,18,RAP,19,loudly,20,0.014
1,1,24,BANDS,25,can,26,PLAY,27,loudly,28,0.056
1,0,16,BATS,17,can,18,BITE,19,blindly,20,0.016
1,1,24,BATS,25,can,26,FLY,27,blindly,28,0.063
1,0,16,BEES,17,can,18,BUZZ,19,painfully,20,0.039
1,1,24,BEES,25,can,26,STING,27,painfully,28,0.362
1,0,16,BIRDS,17,can,18,CHIRP,19,sweetly,20,0.013
1,1,24,BIRDS,25,can,26,FLY,27,sweetly,28,0.32
