block	bin_strength	trigger_fix	prime	trigger_prime	aux	trigger_aux	target	trigger_target	post	trigger_post	strength	probe	probe_answer
0	0	0	This	1	is	2	a	3	sentence.	4	0	Question: This is a sentence.	2
0	0	0	Practice	1	is	2	very	3	important.	4	0	Question: This is a sentence.	2
1	0	16	Acrobats	17	can	18	fly	19	high.	20	0.019	Question: This is a sentence.	2
1	0	16	Alarms	17	can	18	scare	19	people.	20	0.048	Question: AIRPLANES are inanimate.	2
1	0	16	Ants	17	can	18	sting	19	people.	20	0.017	Question: ANCHORS are inanimate.	2
1	0	16	Artists	17	can	18	draw	19	everything.	20	0.015	Question: ARCHITECTS are inanimate.	1
1	0	16	Balloons	17	can	18	float	19	abruptly.	20	0.054	Question: BABIES are inanimate.	1
1	0	16	Bats	17	can	18	bite	19	blindly.	20	0.016	Question: BANDS are inanimate.	1
1	0	16	Birds	17	can	18	chirp	19	sweetly.	20	0.013	Question: BEES are inanimate.	1
1	0	16	Boxers	17	can	18	hit	19	hard.	20	0.026	Question: BOMBS are inanimate.	2
1	0	16	Bugs	17	can	18	annoy	19	easily.	20	0.013	Question: BRAINS are inanimate.	1
1	0	16	Cars	17	can	18	travel	19	far.	20	0.039	Question: BURGLARS are inanimate.	1
1	0	16	Clamps	17	can	18	fasten	19	tight.	20	0.013	Question: CHILDREN are inanimate.	1
1	0	16	Cooks	17	can	18	fry	19	food.	20	0.016	Question: CLOROX are inanimate.	2
1	0	16	Ducks	17	can	18	swim	19	peacefully.	20	0.013	Question: CRITICS are inanimate.	1
1	0	16	Ears	17	can	18	ache	19	immensely.	20	0.035	Question: EAGLES are inanimate.	1
1	0	16	Engines	17	can	18	roar	19	loudly.	20	0.016	Question: EARTHQUAKES are inanimate.	2
1	0	16	Farmers	17	can	18	grow	19	fields.	20	0.01	Question: EYES are inanimate.	1
1	0	16	Fish	17	can	18	cook	19	quickly.	20	0.012	Question: FEET are inanimate.	1
1	0	16	Grasshoppers	17	can	18	jump	19	high.	20	0.052	Question: FROGS are inanimate.	1
1	0	16	Guides	17	can	18	help	19	confidently.	20	0.032	Question: GUARDS are inanimate.	1
1	0	16	Heads	17	can	18	think	19	quickly.	20	0.021	Question: GYMNASTS are inanimate.	1
1	0	16	Helicopters	17	can	18	crash	19	suddenly.	20	0.02	Question: HEARTS are inanimate.	1
1	0	16	Inventors	17	can	18	discover	19	unconsciously.	20	0.014	Question: INSECTS are inanimate.	1
1	0	16	Kangaroos	17	can	18	bounce	19	high.	20	0.019	Question: JUDGES are inanimate.	1
