"Occurences","Word","Length","Freq_HAL","Log_Freq_HAL","BG_Mean"
"1","post","4","275951","12.53","1828.33"
"1","prime","5","22011","10.00","1711.25"
"1","target","6","29601","10.30","1542.60"
"2","above","5","177919","12.09","1053.00"
"2","actor","5","10471","9.26","1680.75"
"2","add","3","113856","11.64","628.50"
"2","afraid","6","23303","10.06","1097.00"
"2","animal","6","24745","10.12","2126.20"
"2","apart","5","22038","10.00","1484.75"
"2","apple","5","65844","11.10","1393.00"
"2","arm","3","20427","9.92","1774.00"
"2","army","4","34024","10.43","1216.00"
"2","arrow","5","7324","8.90","1593.00"
"2","art","3","62513","11.04","1984.00"
"2","asleep","6","5410","8.60","1368.40"
"2","aunt","4","2845","7.95","1780.67"
"2","awake","5","3506","8.16","529.75"
"2","baby","4","35810","10.49","618.33"
"2","back","4","393090","12.88","1061.00"
"2","bad","3","153580","11.94","914.00"
"2","ball","4","38502","10.56","1819.33"
"2","bank","4","39506","10.58","1515.33"
"2","bat","3","6469","8.77","2479.00"
"2","beach","5","26666","10.19","1413.50"
"2","bee","3","3288","8.10","864.00"
"2","beer","4","24708","10.11","2630.00"
"2","below","5","90658","11.41","1186.75"
"2","bird","4","19070","9.86","684.33"
"2","bizarre","7","5944","8.69","1577.50"
"2","black","5","160756","11.99","1401.25"
"2","blade","5","9592","9.17","1712.75"
"2","blaze","5","4591","8.43","951.75"
"2","blue","4","89005","11.40","721.33"
"2","boat","4","15857","9.67","1788.33"
"2","book","4","190905","12.16","639.67"
"2","boring","6","12707","9.45","3441.20"
"2","bow","3","7503","8.92","725.00"
"2","box","3","171530","12.05","430.00"
"2","boy","3","42823","10.66","451.50"
"2","brawl","5","1090","6.99","999.00"
"2","bread","5","9063","9.11","1995.75"
"2","bride","5","3676","8.21","1724.00"
"2","bug","3","32226","10.38","417.50"
"2","bull","4","8305","9.02","1056.67"
"2","buy","3","130387","11.78","265.50"
"2","buyer","5","17902","9.79","1718.75"
"2","cake","4","6250","8.74","1010.67"
"2","candy","5","4887","8.49","1799.50"
"2","car","3","86253","11.37","2384.00"
"2","cat","3","38649","10.56","2992.00"
"2","chair","5","18589","9.83","1097.50"
"2","cheese","6","8662","9.07","2131.20"
"2","child","5","64729","11.08","1091.00"
"2","church","6","49074","10.80","1022.00"
"2","clam","4","768","6.64","1181.00"
"2","clock","5","24496","10.11","909.75"
"2","close","5","84927","11.35","1231.00"
"2","coal","4","4838","8.48","1985.67"
"2","cob","3","460","6.13","1416.00"
"2","coffee","6","18382","9.82","903.40"
"2","cold","4","34854","10.46","1366.67"
"2","color","5","74865","11.22","1998.50"
"2","copy","4","126341","11.75","1103.00"
"2","couch","5","4971","8.51","1527.25"
"2","cow","3","7262","8.89","1579.50"
"2","crazy","5","17520","9.77","1009.25"
"2","crowd","5","12988","9.47","914.25"
"2","cut","3","99104","11.50","799.50"
"2","dad","3","11823","9.38","792.50"
"2","day","3","239111","12.38","478.50"
"2","deep","4","42695","10.66","1381.67"
"2","deer","4","4911","8.50","3211.00"
"2","die","3","67931","11.13","1565.00"
"2","dime","4","2557","7.85","1501.33"
"2","dinner","6","13031","9.48","3515.00"
"2","dirt","4","7642","8.94","1229.67"
"2","doctor","6","31917","10.37","1299.20"
"2","doe","3","4652","8.45","367.00"
"2","door","4","53813","10.89","1422.67"
"2","down","4","293731","12.59","479.67"
"2","draw","4","26592","10.19","1244.00"
"2","dream","5","32423","10.39","1924.50"
"2","dress","5","12384","9.42","2749.50"
"2","drink","5","19872","9.90","2612.75"
"2","drug","4","37439","10.53","459.00"
"2","dryer","5","1153","7.05","1843.50"
"2","duck","4","6829","8.83","581.67"
"2","ear","3","11312","9.33","2390.00"
"2","early","5","75759","11.24","1651.75"
"2","east","4","49098","10.80","2277.33"
"2","empty","5","19261","9.87","738.50"
"2","end","3","227504","12.33","2789.00"
"2","enemy","5","16802","9.73","1800.50"
"2","face","4","77706","11.26","1174.67"
"2","FALSE","5","0","0.00","1484.50"
"2","fast","4","77003","11.25","1815.00"
"2","fat","3","29356","10.29","2304.50"
"2","fight","5","40281","10.60","607.25"
"2","film","4","52691","10.87","779.00"
"2","finger","6","37566","10.53","3797.40"
"2","fire","4","62707","11.05","2050.33"
"2","fish","4","30614","10.33","1618.00"
"2","flower","6","6288","8.75","1854.80"
"2","flush","5","4223","8.35","954.25"
"2","food","4","59724","11.00","683.67"
"2","foot","4","24212","10.09","807.00"
"2","fork","4","11253","9.33","1204.67"
"2","found","5","199981","12.21","1470.75"
"2","friend","6","81053","11.30","2016.60"
"2","frog","4","3126","8.05","1009.00"
"2","front","5","77889","11.26","2536.25"
"2","fuel","4","16552","9.71","848.67"
"2","full","4","155605","11.96","1020.33"
"2","fun","3","75696","11.23","1132.50"
"2","girl","4","40340","10.61","556.67"
"2","glass","5","20768","9.94","1369.50"
"2","glove","5","2355","7.76","1086.75"
"2","god","3","129944","11.77","448.00"
"2","gold","4","53067","10.88","662.67"
"2","good","4","628816","13.35","607.33"
"2","grass","5","7354","8.90","1720.25"
"2","green","5","90773","11.42","2494.00"
"2","groom","5","1692","7.43","1258.50"
"2","ground","6","48767","10.79","1636.80"
"2","gum","3","2607","7.87","503.50"
"2","gums","4","517","6.25","401.33"
"2","hair","4","42603","10.66","957.67"
"2","halt","4","4028","8.30","1526.67"
"2","hammer","6","6714","8.81","2075.00"
"2","hand","4","124848","11.73","2130.00"
"2","hard","4","176370","12.08","1579.33"
"2","head","4","109089","11.60","1538.33"
"2","health","6","60950","11.02","1664.40"
"2","heaven","6","16257","9.70","1932.80"
"2","height","6","12052","9.40","737.60"
"2","hell","4","62006","11.03","1700.00"
"2","herb","4","4078","8.31","2724.33"
"2","here","4","477382","13.08","4151.00"
"2","high","4","185510","12.13","793.00"
"2","hill","4","31346","10.35","1378.33"
"2","hive","4","3722","8.22","1286.67"
"2","horse","5","23855","10.08","1862.00"
"2","hot","3","51546","10.85","1049.50"
"2","human","5","180168","12.10","1520.75"
"2","ice","3","38056","10.55","1969.50"
"2","ill","3","11082","9.31","1532.00"
"2","ink","3","5596","8.63","3598.00"
"2","insane","6","6598","8.79","3052.00"
"2","iron","4","19187","9.86","2524.33"
"2","itch","4","758","6.63","1316.00"
"2","jail","4","9659","9.18","824.33"
"2","jelly","5","2029","7.62","1260.50"
"2","jet","3","12298","9.42","750.50"
"2","joy","3","11703","9.37","141.50"
"2","jump","4","26855","10.20","562.67"
"2","keg","3","1152","7.05","666.00"
"2","ketchup","7","1081","6.99","783.83"
"2","key","3","95993","11.47","567.00"
"2","kill","4","70815","11.17","1158.33"
"2","king","4","52583","10.87","3746.67"
"2","kitchen","7","9720","9.18","1654.00"
"2","knife","5","7120","8.87","674.25"
"2","knit","4","1112","7.01","1266.67"
"2","late","4","55030","10.92","3531.67"
"2","lava","4","2757","7.92","956.33"
"2","leap","4","6090","8.71","2034.67"
"2","left","4","132017","11.79","1341.00"
"2","lemon","5","4015","8.30","2499.25"
"2","less","4","158428","11.97","3158.67"
"2","letter","6","58299","10.97","3199.80"
"2","light","5","96805","11.48","1094.25"
"2","lime","4","2086","7.64","1791.67"
"2","lion","4","7671","8.95","3287.33"
"2","little","6","288496","12.57","1886.60"
"2","lobe","4","464","6.14","895.33"
"2","lock","4","18221","9.81","1020.00"
"2","look","4","253524","12.44","874.67"
"2","lose","4","38347","10.55","1448.33"
"2","lost","4","78090","11.27","1959.67"
"2","loud","4","11931","9.39","1167.00"
"2","love","4","165830","12.02","1303.67"
"2","low","3","86110","11.36","1077.50"
"2","mad","3","17811","9.79","1365.50"
"2","maid","4","1714","7.45","1148.33"
"2","meat","4","14861","9.61","2579.00"
"2","might","5","277738","12.53","750.25"
"2","milk","4","15195","9.63","970.00"
"2","money","5","209588","12.25","2020.25"
"2","monkey","6","4882","8.49","1398.00"
"2","more","4","1076711","13.89","2753.33"
"2","moth","4","515","6.24","1064.00"
"2","mouth","5","34157","10.44","1226.00"
"2","movie","5","61248","11.02","881.25"
"2","murder","6","19075","9.86","2220.20"
"2","music","5","134404","11.81","1453.50"
"2","nail","4","4603","8.43","1259.33"
"2","nap","3","1644","7.40","1150.00"
"2","nephew","6","1363","7.22","1111.80"
"2","never","5","303028","12.62","2704.50"
"2","new","3","709084","13.47","1292.00"
"2","nickel","6","1984","7.59","1476.80"
"2","niece","5","669","6.51","1426.25"
"2","night","5","97524","11.49","786.75"
"2","noise","5","20803","9.94","1484.75"
"2","north","5","77220","11.25","1469.75"
"2","noun","4","1523","7.33","1443.33"
"2","number","6","283001","12.55","1670.20"
"2","oak","3","6450","8.77","375.50"
"2","old","3","238321","12.38","813.50"
"2","once","4","188862","12.15","2545.33"
"2","one","3","1428618","14.17","3440.50"
"2","open","4","145040","11.88","2076.67"
"2","order","5","193686","12.17","3036.25"
"2","over","4","452595","13.02","2868.00"
"2","pants","5","10126","9.22","2151.25"
"2","paper","5","64005","11.07","2449.00"
"2","peace","5","40408","10.61","1643.50"
"2","pen","3","7902","8.97","2739.50"
"2","pepper","6","5324","8.58","2133.60"
"2","pie","3","4935","8.50","1037.00"
"2","pistol","6","4683","8.45","1961.80"
"2","place","5","195199","12.18","1473.00"
"2","plane","5","18677","9.84","2138.50"
"2","plate","5","10419","9.25","2843.00"
"2","plead","5","1026","6.93","1764.75"
"2","pole","4","5730","8.65","1929.67"
"2","polish","6","6046","8.71","1835.00"
"2","poor","4","53482","10.89","1585.00"
"2","pot","3","13161","9.49","990.00"
"2","priest","6","14417","9.58","2705.00"
"2","push","4","19347","9.87","1053.00"
"2","quack","5","628","6.44","846.25"
"2","queen","5","17473","9.77","1407.75"
"2","quench","6","243","5.49","1535.20"
"2","quiz","4","2915","7.98","524.67"
"2","razor","5","3264","8.09","1501.75"
"2","recipe","6","10197","9.23","1803.80"
"2","red","3","103819","11.55","4513.50"
"2","rich","4","36592","10.51","2227.67"
"2","right","5","388384","12.87","1125.75"
"2","rip","3","8026","8.99","1700.00"
"2","road","4","66722","11.11","1204.67"
"2","rob","3","21934","10.00","1251.00"
"2","rough","5","10148","9.23","1152.50"
"2","round","5","47080","10.76","1859.00"
"2","rug","3","1448","7.28","490.50"
"2","rule","4","45323","10.72","1705.00"
"2","run","3","223338","12.32","1260.00"
"2","rye","3","1258","7.14","408.00"
"2","salad","5","2491","7.82","1717.50"
"2","salt","4","15258","9.63","1390.33"
"2","sand","4","10083","9.22","1993.67"
"2","satin","5","1533","7.33","4147.25"
"2","school","6","119951","11.69","1162.40"
"2","sea","3","36736","10.51","1923.00"
"2","shine","5","3206","8.07","2887.75"
"2","shirt","5","8155","9.01","1048.25"
"2","shoe","4","5209","8.56","878.33"
"2","short","5","95521","11.47","1561.50"
"2","shove","5","2255","7.72","1232.75"
"2","shovel","6","1017","6.92","1333.00"
"2","sick","4","22109","10.00","1644.00"
"2","silk","4","3864","8.26","1078.67"
"2","silver","6","24413","10.10","2260.00"
"2","sister","6","17160","9.75","3715.80"
"2","sketch","6","2053","7.63","846.80"
"2","skull","5","7302","8.90","725.25"
"2","sleep","5","25606","10.15","1347.50"
"2","smell","5","9693","9.18","1404.50"
"2","smile","5","12276","9.42","1686.50"
"2","smoke","5","16648","9.72","654.25"
"2","sock","4","1146","7.04","791.00"
"2","sofa","4","1515","7.32","470.00"
"2","soft","4","22233","10.01","380.67"
"2","soil","4","7607","8.94","854.67"
"2","south","5","66282","11.10","1180.50"
"2","speed","5","91193","11.42","1961.75"
"2","spice","5","2561","7.85","1393.50"
"2","spider","6","6953","8.85","2251.80"
"2","spool","5","4385","8.39","1032.00"
"2","spring","6","26152","10.17","3172.20"
"2","square","6","19004","9.85","1716.20"
"2","stand","5","48716","10.79","2671.75"
"2","star","4","81633","11.31","2802.33"
"2","steal","5","11268","9.33","3209.75"
"2","steel","5","18414","9.82","2641.00"
"2","stone","5","33008","10.40","2953.00"
"2","stop","4","96586","11.48","1894.00"
"2","stream","6","11580","9.36","2511.00"
"2","street","6","76139","11.24","2403.80"
"2","strong","6","69234","11.15","3184.20"
"2","supper","6","1170","7.06","1919.20"
"2","sweet","5","15494","9.65","726.00"
"2","Swiss","5","6335","8.75","1248.50"
"2","sword","5","16752","9.73","979.00"
"2","syrup","5","1916","7.56","339.00"
"2","table","5","56081","10.93","1869.75"
"2","tail","4","11267","9.33","1409.33"
"2","take","4","330816","12.71","1035.33"
"2","tale","4","6202","8.73","2785.67"
"2","talk","4","91547","11.42","1682.33"
"2","tall","4","11346","9.34","2186.00"
"2","tame","4","1305","7.17","1521.00"
"2","taxi","4","2745","7.92","700.33"
"2","tear","4","6617","8.80","3058.33"
"2","test","4","124267","11.73","4149.67"
"2","text","4","124115","11.73","1707.67"
"2","then","4","705900","13.47","2296.00"
"2","there","5","1313357","14.09","3444.00"
"2","thick","5","11429","9.34","1410.75"
"2","thin","4","14257","9.57","3101.33"
"2","thirst","6","1026","6.93","1650.40"
"2","thread","6","57162","10.95","1796.20"
"2","thumb","5","6586","8.79","668.25"
"2","tiger","5","5393","8.59","3242.00"
"2","time","4","788823","13.58","2468.00"
"2","toad","4","1692","7.43","945.67"
"2","toe","3","4548","8.42","756.00"
"2","together","8","90238","11.41","1953.00"
"2","toilet","6","5523","8.62","1583.60"
"2","town","4","37149","10.52","739.00"
"2","tree","4","27218","10.21","2366.67"
"2","trout","5","1947","7.57","1612.00"
"2","TRUE","4","0","0.00","918.33"
"2","truth","5","52771","10.87","1154.25"
"2","tune","4","12260","9.41","1623.33"
"2","twelve","6","6793","8.82","867.60"
"2","twice","5","46140","10.74","1126.00"
"2","ugly","4","11466","9.35","765.00"
"2","uncle","5","10780","9.29","1811.75"
"2","under","5","250435","12.43","3094.75"
"2","up","2","931275","13.74","403.00"
"2","vein","4","2169","7.68","3038.67"
"2","verb","4","2101","7.65","2778.33"
"2","vote","4","58103","10.97","1855.33"
"2","wag","3","350","5.86","724.00"
"2","wage","4","10055","9.22","886.33"
"2","walk","4","33093","10.41","1278.00"
"2","wall","4","91869","11.43","1781.67"
"2","washer","6","1011","6.92","2264.40"
"2","water","5","105961","11.57","3850.50"
"2","weak","4","17123","9.75","876.67"
"2","weep","4","826","6.72","676.00"
"2","weight","6","33958","10.43","484.60"
"2","west","4","62838","11.05","2846.00"
"2","white","5","149742","11.92","1972.50"
"2","wild","4","23869","10.08","743.00"
"2","win","3","64799","11.08","3681.50"
"2","window","6","54926","10.91","2079.80"
"2","woman","5","66489","11.10","1679.50"
"2","work","4","451298","13.02","1120.67"
"2","year","4","246566","12.42","1654.00"
"2","yolk","4","324","5.78","497.33"
"2","yours","5","32621","10.39","1146.50"
"400","incorrect","9","11960","9.39","2637.00"

