subject	block	trial	trigger	word	priming	dur	ia
A0023	1	240	1	0	0	433	prime
A0023	1	241	1	0	0	382	prime
A0023	1	242	1	0	0	434	prime
A0023	1	243	5	0	1	445	prime
A0023	1	244	1	0	0	403	prime
A0023	1	245	1	0	0	446	prime
A0023	1	246	1	0	0	378	prime
A0023	1	247	1	0	0	419	prime
A0023	1	248	1	0	0	357	prime
A0023	1	249	1	0	0	336	prime
A0023	1	250	1	0	0	364	prime
A0023	1	251	1	0	0	354	prime
A0023	1	252	1	0	0	363	prime
A0023	1	253	1	0	0	346	prime
A0023	1	254	1	0	0	392	prime
A0023	1	255	1	0	0	408	prime
A0023	1	256	9	1	0	-1	prime
A0023	1	257	1	0	0	428	prime
A0023	1	258	1	0	0	420	prime
A0023	1	259	9	1	0	-1	prime
A0023	1	260	9	1	0	-1	prime
A0023	1	261	5	0	1	-1	prime
A0023	1	262	1	0	0	411	prime
A0023	1	263	5	0	1	512	prime
A0023	1	264	1	0	0	378	prime
A0023	1	265	5	0	1	506	prime
A0023	1	266	1	0	0	373	prime
A0023	1	267	1	0	0	358	prime
A0023	1	268	1	0	0	485	prime
A0023	1	269	1	0	0	384	prime
A0023	1	270	5	0	1	361	prime
A0023	1	271	1	0	0	376	prime
A0023	1	272	9	1	0	-1	prime
A0023	1	273	1	0	0	423	prime
A0023	1	274	5	0	1	104	prime
A0023	1	275	1	0	0	443	prime
A0023	1	276	1	0	0	354	prime
A0023	1	277	1	0	0	382	prime
A0023	1	278	9	1	0	-1	prime
A0023	1	279	1	0	0	517	prime
A0023	1	280	1	0	0	366	prime
A0023	1	281	1	0	0	356	prime
A0023	1	282	1	0	0	184	prime
A0023	1	283	1	0	0	301	prime
A0023	1	284	9	1	0	-1	prime
A0023	1	285	5	0	1	427	prime
A0023	1	286	9	1	0	-1	prime
A0023	1	287	9	1	0	-1	prime
A0023	1	288	1	0	0	450	prime
A0023	1	289	1	0	0	393	prime
A0023	1	290	1	0	0	336	prime
A0023	1	291	5	0	1	399	prime
A0023	1	292	1	0	0	458	prime
A0023	1	293	1	0	0	336	prime
A0023	1	294	9	1	0	408	prime
A0023	1	295	5	0	1	409	prime
A0023	1	296	1	0	0	366	prime
A0023	1	297	1	0	0	463	prime
A0023	1	298	5	0	1	373	prime
A0023	1	299	1	0	0	480	prime
A0023	1	300	9	1	0	359	prime
A0023	1	301	5	0	1	366	prime
A0023	1	302	1	0	0	366	prime
A0023	1	303	5	0	1	82	prime
A0023	1	304	5	0	1	368	prime
A0023	1	305	1	0	0	328	prime
A0023	1	306	9	1	0	371	prime
A0023	1	307	9	1	0	-1	prime
A0023	1	308	1	0	0	346	prime
A0023	1	309	5	0	1	536	prime
A0023	1	310	1	0	0	92	prime
A0023	1	311	1	0	0	381	prime
A0023	1	312	1	0	0	372	prime
A0023	1	313	9	1	0	-1	prime
A0023	1	314	1	0	0	315	prime
A0023	1	315	1	0	0	497	prime
A0023	1	316	1	0	0	363	prime
A0023	1	317	5	0	1	440	prime
A0023	1	318	9	1	0	-1	prime
A0023	1	319	1	0	0	326	prime
A0023	1	320	1	0	0	360	prime
A0023	1	321	5	0	1	-1	prime
A0023	1	322	1	0	0	353	prime
A0023	1	323	5	0	1	375	prime
A0023	1	324	5	0	1	355	prime
A0023	1	325	1	0	0	405	prime
A0023	1	326	5	0	1	325	prime
A0023	1	327	5	0	1	323	prime
A0023	1	328	9	1	0	-1	prime
A0023	1	329	1	0	0	369	prime
A0023	1	330	1	0	0	334	prime
